{:name=>"@emilyxarmitage", :text=>"RT @Rene: Why Drake just released a new album. http://t.co/LnA7q5xMAO", :followers=>1525, :user_id=>921458204, :retweet=>2498}
{:name=>"@dleadbeater2011", :text=>"Drake’s team is torn apart around him in 'BLOOD VENGEANCE' ... UK~ http://t.co/XpgG6S52bT USA~ http://t.co/LUExN1bdUF #suspense #goodreads", :followers=>43743, :user_id=>434768070, :retweet=>0}
{:name=>"@BishDntFollowMe", :text=>"Had to warn this guy not to download the new Drake 🚮🚮🚮", :followers=>588, :user_id=>73966936, :retweet=>0}
{:name=>"@tbhsanna", :text=>"did drake just pull a beyonce on us", :followers=>40, :user_id=>2990348147, :retweet=>0}
{:name=>"@Mb_Soul_SA", :text=>"Drake never disappoints.", :followers=>393, :user_id=>467323352, :retweet=>0}
{:name=>"@MellzTheKing", :text=>"RT @gz_xo: ya'll can't compare talent with sales. forreal don't be sayin Drake's album sold faster than J.Cole's that means Drake is better…", :followers=>42, :user_id=>2493592178, :retweet=>8}
{:name=>"@cashewespinoosa", :text=>"RT @camerondallas: Drake mixtape just dropped 🔥", :followers=>22962, :user_id=>269452119, :retweet=>5557}
{:name=>"@_westic", :text=>"RT @bb_brooks: When Drake told Tyga “calling my name out on the world stage… you need to act your own age and not your girl’s age” http://t…", :followers=>117, :user_id=>580865752, :retweet=>26}
{:name=>"@yabroodywllz", :text=>"RT @AltoArcher_: Drake literally said my relationship goals in one bar. This man the 🐐🐐 http://t.co/ijxLjh5bzF", :followers=>257, :user_id=>2491608913, :retweet=>11}
{:name=>"@mellowjeffrey", :text=>"I think these people got converted from J. Cole to Drake cause everybody on this shit now", :followers=>268, :user_id=>2689529132, :retweet=>0}
{:name=>"@iamtaste", :text=>"Drake_6PM In New York is on fucking fleek 🔥", :followers=>477, :user_id=>164627642, :retweet=>0}
{:name=>"@BIG_HEPH", :text=>"HELLAAAA NEW PICTURE CAPTIONS COMING FROM THIS DRAKE ALBUM 😂😅", :followers=>4850, :user_id=>462254422, :retweet=>0}
{:name=>"@Tha1TeeJay", :text=>"RT @Stephante_: Drake can rap over the most boring beat  and make it a banger. My brain doesn't understand. I need a banana", :followers=>276, :user_id=>504485795, :retweet=>10}
{:name=>"@Mikaysterzzz", :text=>"“@AustinStLewis: “@JonnyFootbalI: When your boy tells you Drake just released a new album https://t.co/G8765SqTEP”@EmilyGaither”", :followers=>581, :user_id=>67618611, :retweet=>0}
{:name=>"@Stefano_Kun", :text=>"RT @asiahh__: drake did dat 😩 http://t.co/t0BcDGAP9b", :followers=>295, :user_id=>425362386, :retweet=>1837}
{:name=>"@laurayonce", :text=>"RT @IamTrevin: - When @Drake said this about Tyga http://t.co/mSy8D1sdoX", :followers=>92, :user_id=>460247262, :retweet=>1010}
{:name=>"@YungAImighty", :text=>"RT @mixbreed_lexie: When you mid song and drake shut that shit down http://t.co/UbJwu50Jkd", :followers=>13164, :user_id=>2486878351, :retweet=>487}
{:name=>"@lmfanelli", :text=>"RT @bIackbones: Drake: \"calling my name out on the world stage, you need to act your own age and not your girl's age\"\n\nRIP Tyga\n\ntime of de…", :followers=>619, :user_id=>57704761, :retweet=>2833}
{:name=>"@Pretty_Quii", :text=>"RT @StevieGthetruth: Drake dropped 8 months worth of IG captions for yall 😂😂", :followers=>374, :user_id=>331301736, :retweet=>440}
{:name=>"@MousailinkAram", :text=>"RT @theneedledrop: Any lines on the new Drake about gettin slapped by my dude Puff?", :followers=>44, :user_id=>2973954352, :retweet=>26}
{:name=>"@0lithee", :text=>"Drake Welcomed to the 'Jungle' in Moody New Short Film http://t.co/3a4UZnwIHP via @rollingstone", :followers=>283, :user_id=>129244777, :retweet=>0}
{:name=>"@Franklin_Peters", :text=>"\"@C_Moralez: Let's just remember that Kendrick has more Grammys than Drake :)\" fuck from here with that", :followers=>271, :user_id=>122446100, :retweet=>0}
{:name=>"@OoouuNigga", :text=>"RT @phontigallo: He did? RT @HuskyHazel: I see Drake (finally) credited Phonte in the influencers column. Bout damn time..", :followers=>354, :user_id=>348588236, :retweet=>82}
{:name=>"@_Wollyhood", :text=>"RT @Djib_TupakTV: [#StreamTupakTV] Drake – If you’re reading This its too Late (Album) http://t.co/8VFaoALvTh", :followers=>520, :user_id=>493140803, :retweet=>1}
{:name=>"@kmetz03", :text=>"I don't care if you don't like drake, that's impressive.", :followers=>246, :user_id=>2450784182, :retweet=>0}
{:name=>"@JonnDoee_", :text=>"Okay Drake. You &amp; The 6 is the first Drake worthy track.", :followers=>557, :user_id=>124675575, :retweet=>0}
{:name=>"@LilTunechiiX", :text=>"RT @IamTrevin: - When @Drake said this about Tyga http://t.co/mSy8D1sdoX", :followers=>448, :user_id=>117206556, :retweet=>1010}
{:name=>"@lexiannaa", :text=>"RT @Burrgos: drake just dropped 6 months worth of Instagram captions", :followers=>309, :user_id=>452492502, :retweet=>1009}
{:name=>"@noella79828056", :text=>"I guess it drake season", :followers=>492, :user_id=>2174209588, :retweet=>0}
{:name=>"@nittymcfly707", :text=>"This new @Drake was needed. . Goin through a drought on my mixtape game,  played everything out. Glad to hear some damn creativity", :followers=>478, :user_id=>127384578, :retweet=>0}
{:name=>"@NewsWrita", :text=>"Drake Drops Secret New Album ‘If You’re Reading This It’s Too Late’. http://t.co/8ZWbhAAOcT", :followers=>326, :user_id=>2169667708, :retweet=>0}
{:name=>"@lamasam", :text=>"RT @GRMDAILY: The real reason drake dropped this project? 👀 #RIPCashMoney http://t.co/MYskYhRBtq", :followers=>1257, :user_id=>99954473, :retweet=>82}
{:name=>"@hiwott_", :text=>"Up at 2 just listening to Drake's mixtape🔥", :followers=>598, :user_id=>910806589, :retweet=>0}
{:name=>"@ovosaline", :text=>"Rt \"@chrstnfrnco: Drake never fails me”", :followers=>114, :user_id=>3020325311, :retweet=>0}
